Test Function,Algorithm,Trial,Best Score,Time (s)
Sphere,CS,26,7819.684683004879,0.04679083824157715
Sphere,CS,27,4164.738861221391,0.04334425926208496
Sphere,CS,28,3614.918972439264,0.043106794357299805
Sphere,CS,29,4913.85496838602,0.04407858848571777
Sphere,CS,30,3517.2139222894507,0.045975685119628906
Sphere,Hill Climbing,1,14944.194918530226,0.06858372688293457
Sphere,Hill Climbing,2,15059.99592679551,0.0677633285522461
Sphere,Hill Climbing,3,27188.746641932747,0.07067680358886719
Sphere,Hill Climbing,4,18854.428400081364,0.06881904602050781
Sphere,Hill Climbing,5,9290.289732579373,0.06798315048217773
Sphere,Hill Climbing,6,20866.633461911737,0.06856679916381836
Sphere,Hill Climbing,7,39681.86646487113,0.0687718391418457
Sphere,Hill Climbing,8,13629.486983573295,0.06951570510864258
Sphere,Hill Climbing,9,22089.30102467796,0.07085967063903809
Sphere,Hill Climbing,10,13140.44934697914,0.06943249702453613
Sphere,Hill Climbing,11,16090.338988960755,0.06954598426818848
Sphere,Hill Climbing,12,16070.727161439789,0.0688471794128418
Sphere,Hill Climbing,13,12788.52346585238,0.06670284271240234
Sphere,Hill Climbing,14,30607.85808920166,0.06960344314575195
Sphere,Hill Climbing,15,16435.520551423342,0.0688638687133789
Sphere,Hill Climbing,16,21381.62743762743,0.06684637069702148
Sphere,Hill Climbing,17,17544.3731840168,0.0699014663696289
Sphere,Hill Climbing,18,35089.098955720765,0.06724071502685547
Sphere,Hill Climbing,19,20616.148139826444,0.06882953643798828
Sphere,Hill Climbing,20,24060.753458211755,0.0686485767364502
Sphere,Hill Climbing,21,26047.34506610961,0.0709688663482666
Sphere,Hill Climbing,22,16798.644336034584,7.37357759475708
Sphere,Hill Climbing,23,12645.445321917536,0.06877684593200684
Sphere,Hill Climbing,24,24297.493090533135,0.06918025016784668
Sphere,Hill Climbing,25,24918.88067412662,0.06926941871643066
Sphere,Hill Climbing,26,29170.419991745806,-7.3060266971588135
Sphere,Hill Climbing,27,23552.582029992875,0.07897520065307617
Sphere,Hill Climbing,28,21240.95376743691,0.06824946403503418
Sphere,Hill Climbing,29,10427.207167081386,0.06815195083618164
Sphere,Hill Climbing,30,10270.15966498774,0.0680701732635498
Sphere,Simulated Annealing,1,10182.00787373997,0.0016794204711914062
Sphere,Simulated Annealing,2,11468.755985773783,0.0012145042419433594
Sphere,Simulated Annealing,3,1391.2161045907044,0.0013120174407958984
Sphere,Simulated Annealing,4,12059.819856325705,0.001207113265991211
Sphere,Simulated Annealing,5,10380.055539600175,0.001161813735961914
Sphere,Simulated Annealing,6,7126.767902158665,0.0011560916900634766
Sphere,Simulated Annealing,7,25652.34676472435,0.002051830291748047
Sphere,Simulated Annealing,8,11748.565276697525,0.0018880367279052734
Sphere,Simulated Annealing,9,10234.999757105856,0.0012125968933105469
Sphere,Simulated Annealing,10,8949.28950751913,0.0012021064758300781
Sphere,Simulated Annealing,11,3742.842396810212,0.001195669174194336
Sphere,Simulated Annealing,12,12682.509384975849,0.0012044906616210938
Sphere,Simulated Annealing,13,9247.228532214598,0.001249551773071289
Sphere,Simulated Annealing,14,9569.454407907682,0.0012006759643554688
Sphere,Simulated Annealing,15,13731.608104118151,0.0011866092681884766
Sphere,Simulated Annealing,16,13769.991164735058,0.0011706352233886719
Sphere,Simulated Annealing,17,4663.862344235739,0.001226663589477539
Sphere,Simulated Annealing,18,11854.277695348133,0.0011742115020751953
Sphere,Simulated Annealing,19,19359.62255122521,0.0013339519500732422
Sphere,Simulated Annealing,20,19581.980924512838,0.0011913776397705078
